site,trt,prof,SOC_pct,SOM_pct,Upper_cm,Lower_cm,ID,BD_g_cm3
122KY,PT,0-5cm,1.107913669,2.105035971,0,5,MLRA 122KY_PT,1.311652922
122KY,PT,5-10 cm,1.091127098,2.073141487,5,10,MLRA 122KY_PT,1.283714339
122KY,PT,10-30 cm,0.990407674,1.88177458,10,30,MLRA 122KY_PT,1.318369234
122KY,PT,30-50cm,0.788968825,1.499040767,30,50,MLRA 122KY_PT,1.71578154
122KY,PT,50-60cm,0.587529976,1.116306954,50,60,MLRA 122KY_PT,1.527362136
122KY,NT,0-5cm,2.836930456,5.390167866,0,5,MLRA 122KY_NT,1.515195555
122KY,NT,5-10 cm,1.611510791,3.061870504,5,10,MLRA 122KY_NT,1.662427171
122KY,NT,10-30 cm,0.956834532,1.817985612,10,30,MLRA 122KY_NT,1.623211311
122KY,NT,30-50cm,0.45323741,0.861151079,30,50,MLRA 122KY_NT,1.576399205
122KY,NT,50-60cm,0.402877698,0.765467626,50,60,MLRA 122KY_NT,1.331841126
125KY,PT,0-5cm,1.452734646,2.760195828,0,5,MLRA 125KY_PT,1.648953447
125KY,PT,5-10 cm,1.48463221,2.820801198,5,10,MLRA 125KY_PT,1.594201758
125KY,PT,10-30 cm,1.614495164,3.067540812,10,30,MLRA 125KY_PT,1.634779912
125KY,PT,30-50cm,1.524982627,2.897466992,30,50,MLRA 125KY_PT,1.589644554
125KY,PT,50-60cm,0.551588613,1.048018364,50,60,MLRA 125KY_PT,1.690348618
125KY,NT,0-5cm,1.703250134,3.236175254,0,5,MLRA 125KY_NT,1.541171169
125KY,NT,5-10 cm,1.501418302,2.852694774,5,10,MLRA 125KY_NT,1.576378332
125KY,NT,10-30 cm,1.230249143,2.337473371,10,30,MLRA 125KY_NT,1.60903034
125KY,NT,30-50cm,0.522521958,0.99279172,30,50,MLRA 125KY_NT,1.839282654
125KY,NT,50-60cm,0.31769973,0.603629487,50,60,MLRA 125KY_NT,1.896315796
99OH,PT,0-5cm,1.768512589,3.360173918,0,5,MLRA 99OH_PT,1.235590328
99OH,PT,5-10 cm,1.805564772,3.430573067,5,10,MLRA 99OH_PT,1.46623879
99OH,PT,10-30 cm,1.704022346,3.237642456,10,30,MLRA 99OH_PT,1.57415728
99OH,PT,30-50cm,1.385892084,2.63319496,30,50,MLRA 99OH_PT,1.673353302
99OH,PT,50-60cm,0.66110601,1.256101419,50,60,MLRA 99OH_PT,1.802780133
99OH,NT,0-5cm,1.943511238,3.692671353,0,5,MLRA 99OH_NT,1.190909344
99OH,NT,5-10 cm,1.552788945,2.950298995,5,10,MLRA 99OH_NT,1.519926359
99OH,NT,10-30 cm,1.373415329,2.609489124,10,30,MLRA 99OH_NT,1.545106434
99OH,NT,30-50cm,1.055285067,2.005041628,30,50,MLRA 99OH_NT,1.707308967
99OH,NT,50-60cm,0.661051998,1.255998796,50,60,MLRA 99OH_NT,1.520384696
124 OH,PT,0-5cm,1.180403678,2.242766988,0,5,MLRA 124 OH_PT,1.400348409
124 OH,PT,5-10 cm,1.279011027,2.430120951,5,10,MLRA 124 OH_PT,1.449325795
124 OH,PT,10-30 cm,1.147819451,2.180856958,10,30,MLRA 124 OH_PT,1.518453112
124 OH,PT,30-50cm,0.806753405,1.53283147,30,50,MLRA 124 OH_PT,1.601712254
124 OH,PT,50-60cm,0.773207677,1.469094586,50,60,MLRA 124 OH_PT,1.620814752
124 OH,NT,0-5cm,1.934648403,3.675831966,0,5,MLRA 124 OH_NT,1.39195069
124 OH,NT,5-10 cm,1.046861765,1.989037354,5,10,MLRA 124 OH_NT,1.553008573
124 OH,NT,10-30 cm,0.741745202,1.409315884,10,30,MLRA 124 OH_NT,1.696732082
124 OH,NT,30-50cm,0.439246061,0.834567515,30,50,MLRA 124 OH_NT,1.709383763
124 OH,NT,50-60cm,0.154374452,0.293311458,50,60,MLRA 124 OH_NT,1.935671337
139A OH,PT,0-5cm,0.907052564,1.723399871,0,5,MLRA 139A OH_PT,1.303066915
139A OH,PT,5-10 cm,1.321179221,2.510240519,5,10,MLRA 139A OH_PT,1.425766774
139A OH,PT,10-30 cm,1.217512995,2.31327469,10,30,MLRA 139A OH_PT,1.47267424
139A OH,PT,30-50cm,0.815550703,1.549546335,30,50,MLRA 139A OH_PT,1.460941423
139A OH,PT,50-60cm,0.576031126,1.094459139,50,60,MLRA 139A OH_PT,1.590776392
139A OH,NT,0-5cm,3.157998339,6.000196844,0,5,MLRA 139A OH_NT,1.221660217
139A OH,NT,5-10 cm,2.501660874,4.753155661,5,10,MLRA 139A OH_NT,1.276619762
139A OH,NT,10-30 cm,1.958785716,3.721692861,10,30,MLRA 139A OH_NT,1.354005703
139A OH,NT,30-50cm,0.815658352,1.549750869,30,50,MLRA 139A OH_NT,1.270810433
139A OH,NT,50-60cm,0.68572571,1.302878848,50,60,MLRA 139A OH_NT,1.151451907
140 PA,PT,0-5cm,2.512406445,4.773572246,0,5,MLRA 140 PA_PT,1.248417178
140 PA,PT,5-10 cm,2.095315664,3.981099762,5,10,MLRA 140 PA_PT,1.356038358
140 PA,PT,10-30 cm,1.903750991,3.617126882,10,30,MLRA 140 PA_PT,1.385883131
140 PA,PT,30-50cm,1.024328608,1.946224355,30,50,MLRA 140 PA_PT,1.549030121
140 PA,PT,50-60cm,0.499498107,0.949046403,50,60,MLRA 140 PA_PT,1.662185084
140 PA,NT,0-5cm,3.509430307,6.667917584,0,5,MLRA 140 PA_NT,0.977860797
140 PA,NT,5-10 cm,2.759998239,5.243996654,5,10,MLRA 140 PA_NT,1.02278262
140 PA,NT,10-30 cm,2.25698688,4.288275073,10,30,MLRA 140 PA_NT,1.234379289
140 PA,NT,30-50cm,1.356546623,2.577438584,30,50,MLRA 140 PA_NT,1.387286502
140 PA,NT,50-60cm,0.728044378,1.383284318,50,60,MLRA 140 PA_NT,1.647237489
